Entity,Code,Year,PMPW,PPP,Total population,Continent
Brunei,BRN,2010,0.001,80552.8644713138,389000.0,
South Korea,KOR,2010,0.001,30352.1048190303,49546000.0,
Sweden,SWE,2010,0.001,42942.5625032962,9390000.0,
Denmark,DNK,2010,0.001,43998.4366716285,5555000.0,
Canada,CAN,2010,0.002,40699.3551293841,34148000.0,
Belgium,BEL,2010,0.002,41085.9189401366,10939000.0,
Australia,AUS,2010,0.002,41464.0400696359,22155000.0,
Reunion,REU,2010,0.003,,831000.0,
Qatar,QAT,2010,0.003,125140.838348001,1856000.0,
Japan,JPN,2010,0.003,35749.7566788784,128542000.0,
Italy,ITA,2010,0.003,36201.1615672134,59325000.0,
United Kingdom,GBR,2010,0.004,36366.9831782522,63460000.0,
France,FRA,2010,0.004,36855.8446824064,62880000.0,
United Arab Emirates,ARE,2010,0.004,57232.6180757649,8550000.0,
Singapore,SGP,2010,0.004,72115.8395014504,5131000.0,
Greece,GRC,2010,0.004,28726.0792836873,10888000.0,
New Caledonia,NCL,2010,0.005,,254000.0,
Curacao,CUW,2010,0.005,,149000.0,
Saint Pierre and Miquelon,SPM,2010,0.005,,6000.0,
Palestine,PSE,2010,0.005,4172.74568921544,4056000.0,
Portugal,PRT,2010,0.005,27238.4606724422,10596000.0,
Guernsey,GGY,2010,0.005,,,
Sint Maarten (Dutch part),SXM,2010,0.005,,34000.0,
Faeroe Islands,FRO,2010,0.005,,48000.0,
Falkland Islands,FLK,2010,0.005,,3000.0,
Oman,OMN,2010,0.005,45335.8525168436,3041000.0,
Finland,FIN,2010,0.005,39848.1344978775,5366000.0,
Gibraltar,GIB,2010,0.005,,34000.0,
Greenland,GRL,2010,0.005,,57000.0,
Monaco,MCO,2010,0.005,,36000.0,
Slovenia,SVN,2010,0.005,28678.3726303687,2043000.0,
Netherlands Antilles,ANT,2010,0.005,,,
Christmas Island,CXR,2010,0.005,,,
Cocos Islands,CCK,2010,0.005,,,
British Virgin Islands,VGB,2010,0.005,,28000.0,
Martinique,MTQ,2010,0.005,,395000.0,
Bermuda,BMU,2010,0.005,56395.0078003539,65000.0,
Cayman Islands,CYM,2010,0.005,,57000.0,
Channel Islands,OWID_CIS,2010,0.005,,160000.0,
Turks and Caicos Islands,TCA,2010,0.006,,33000.0,
Spain,ESP,2010,0.006,32507.0939660629,46931000.0,
Cyprus,CYP,2010,0.006,33941.1380158355,1113000.0,
Norway,NOR,2010,0.006,62350.4107068751,4886000.0,
Taiwan,TWN,2010,0.006,,23188000.0,
Iceland,ISL,2010,0.006,38978.0055953415,320000.0,
Niue,NIU,2010,0.006,,2000.0,
Northern Mariana Islands,MNP,2010,0.006,,54000.0,
Guam,GUM,2010,0.006,,159000.0,
Aruba,ABW,2010,0.007,,102000.0,
New Zealand,NZL,2010,0.007,32119.2155430773,4370000.0,
Macao,MAC,2010,0.007,98184.3365009534,538000.0,
United States,USA,2010,0.007,49374.1788851797,309011008.0,
Netherlands,NLD,2010,0.008,45524.6621425733,16683000.0,
Israel,ISR,2010,0.008,29743.0058727916,7346000.0,
India,IND,2010,0.009,4404.69700530387,1234280960.0,
Ireland,IRL,2010,0.009,44030.4141487055,4554000.0,
Jamaica,JAM,2010,0.01,7996.01948795873,2810000.0,
Germany,DEU,2010,0.01,40428.7210307617,80827000.0,
Anguilla,AIA,2010,0.01,,13000.0,
Hong Kong,HKG,2010,0.01,48107.7086333279,6966000.0,
Chile,CHL,2010,0.011,19442.0503154635,17063000.0,
Puerto Rico,PRI,2010,0.011,33924.0540101397,3580000.0,
Romania,ROU,2010,0.011,17553.2832966444,20472000.0,
Bahamas,BHS,2010,0.011,29221.9911816149,355000.0,
Mexico,MEX,2010,0.012,15715.9721449501,114093000.0,
French Polynesia,PYF,2010,0.013,,266000.0,
Poland,POL,2010,0.013,21770.6444359772,38330000.0,
Madagascar,MDG,2010,0.013,1385.68507168039,21152000.0,
Mozambique,MOZ,2010,0.013,917.763832040531,23532000.0,
Kuwait,KWT,2010,0.014,75204.145116617,2992000.0,
Bahrain,BHR,2010,0.016,40570.5356928307,1241000.0,
Saudi Arabia,SAU,2010,0.016,45421.2284797446,27421000.0,
Venezuela,VEN,2010,0.017,16544.9720552598,28440000.0,
Brazil,BRA,2010,0.017,14537.5671930903,195714000.0,
Malta,MLT,2010,0.018,28364.7993209208,414000.0,
Estonia,EST,2010,0.019,22740.9720038708,1332000.0,
Gabon,GAB,2010,0.019,15355.7846497731,1624000.0,
Tanzania,TZA,2010,0.02,2090.58322467574,44347000.0,
Latvia,LVA,2010,0.02,18251.9532813473,2119000.0,
Montserrat,MSR,2010,0.02,,5000.0,
Russia,RUS,2010,0.02,23107.7852212759,143479008.0,
Lithuania,LTU,2010,0.021,21070.6343301646,3124000.0,
Cuba,CUB,2010,0.022,,11226000.0,
Kenya,KEN,2010,0.023,2476.01074216401,42031000.0,
Uruguay,URY,2010,0.024,17082.4046586765,3359000.0,
Guinea,GIN,2010,0.025,1573.54495756823,10192000.0,
Argentina,ARG,2010,0.026,18712.0630773436,40896000.0,
Suriname,SUR,2010,0.027,14211.8775163255,529000.0,
Croatia,HRV,2010,0.028,20171.9575294867,4328000.0,
Panama,PAN,2010,0.029,15628.5922438738,3643000.0,
Bangladesh,BGD,2010,0.03,2442.72888765696,147575008.0,
Dominica,DMA,2010,0.031,10198.2733729326,71000.0,
Albania,ALB,2010,0.032,9927.18184117512,2948000.0,
Ghana,GHA,2010,0.032,3059.38362640541,24780000.0,
Lebanon,LBN,2010,0.034,16451.7598336606,4953000.0,
Barbados,BRB,2010,0.034,16417.9624523108,282000.0,
Colombia,COL,2010,0.034,10900.5052821616,45223000.0,
Eritrea,ERI,2010,0.035,1416.36580154238,3170000.0,
Sierra Leone,SLE,2010,0.035,1199.98985027502,6416000.0,
Georgia,GEO,2010,0.035,6733.78376130988,4099000.0,
Libya,LBY,2010,0.036,29630.2221484622,6198000.0,
Benin,BEN,2010,0.036,1818.77846075906,9199000.0,
Mauritania,MRT,2010,0.038,3316.97478042489,3494000.0,
Cameroon,CMR,2010,0.038,2929.82911281962,20341000.0,
Democratic Republic of Congo,COD,2010,0.039,660.210955818272,64564000.0,
Dominican Republic,DOM,2010,0.039,11132.5526905467,9695000.0,
Peru,PER,2010,0.039,9956.55663668307,29028000.0,
French Guiana,GUF,2010,0.039,,233000.0,
Guadeloupe,GLP,2010,0.039,,406000.0,
Saint Helena,SHN,2010,0.039,,5000.0,
Turkey,TUR,2010,0.039,17959.2591065745,72327000.0,
Gambia,GMB,2010,0.041,1644.24236613493,1793000.0,
Haiti,HTI,2010,0.044,1502.03271141224,9949000.0,
Angola,AGO,2010,0.045,5897.68284059848,23356000.0,
Guinea-Bissau,GNB,2010,0.046,1400.36329312665,1523000.0,
Montenegro,MNE,2010,0.046,14034.5845640087,624000.0,
Costa Rica,CRI,2010,0.047,12999.9921931442,4577000.0,
Ecuador,ECU,2010,0.047,9352.34423681593,15011000.0,
Indonesia,IDN,2010,0.047,8433.49735678452,241834000.0,
Somalia,SOM,2010,0.047,,12044000.0,
Equatorial Guinea,GNQ,2010,0.047,33723.3658030152,944000.0,
North Korea,PRK,2010,0.048,,24549000.0,
Togo,TGO,2010,0.049,1208.2812098328,6422000.0,
Cape Verde,CPV,2010,0.049,5828.24158804338,493000.0,
Morocco,MAR,2010,0.049,6443.25361319481,32343000.0,
Saint Vincent and the Grenadines,VCT,2010,0.051,9915.57761891195,108000.0,
El Salvador,SLV,2010,0.051,6300.77538777337,6184000.0,
Bulgaria,BGR,2010,0.051,15283.2914751664,7425000.0,
Antigua and Barbuda,ATG,2010,0.051,19212.7201307541,88000.0,
Ukraine,UKR,2010,0.052,7824.49845171438,45792000.0,
Belize,BLZ,2010,0.053,7876.80958597644,322000.0,
Cook Islands,COK,2010,0.054,,18000.0,
Congo,COG,2010,0.054,5186.34478845194,4274000.0,
Saint Kitts and Nevis,KNA,2010,0.054,21412.201453108,49000.0,
Cambodia,KHM,2010,0.058,2522.92682475402,14312000.0,
Bosnia and Herzegovina,BIH,2010,0.061,9720.34217718095,3705000.0,
Philippines,PHL,2010,0.062,5596.83728794962,93967000.0,
Grenada,GRD,2010,0.064,11177.9997155594,106000.0,
Nicaragua,NIC,2010,0.066,4028.71208738128,5824000.0,
Myanmar,MMR,2010,0.066,3721.21144009279,50601000.0,
Iraq,IRQ,2010,0.067,12717.5975271684,29742000.0,
Liberia,LBR,2010,0.072,699.653721510599,3891000.0,
Iran,IRN,2010,0.074,17942.8328426143,73763000.0,
Djibouti,DJI,2010,0.076,,840000.0,
Yemen,YEM,2010,0.077,4478.7435991429,23155000.0,
Honduras,HND,2010,0.079,3971.18299352727,8317000.0,
Sudan,SDN,2010,0.083,3366.09626107549,34545000.0,
Samoa,WSM,2010,0.084,5399.89309631838,186000.0,
Palau,PLW,2010,0.084,11846.5739334318,18000.0,
Micronesia (country),FSM,2010,0.085,3297.65693360804,103000.0,
Sao Tome and Principe,STP,2010,0.085,2641.51394847294,180000.0,
Nigeria,NGA,2010,0.085,5150.15881822763,158503008.0,
Tokelau,TKL,2010,0.086,,1000.0,
Norfolk Island,NFK,2010,0.086,,,
Jordan,JOR,2010,0.086,9472.76832624669,7262000.0,
Senegal,SEN,2010,0.086,2183.99505141766,12678000.0,
Algeria,DZA,2010,0.086,12870.6026985154,35977000.0,
Cote d'Ivoire,CIV,2010,0.086,2690.25800198952,20533000.0,
Kiribati,KIR,2010,0.088,1731.53862650466,103000.0,
Tunisia,TUN,2010,0.088,10436.3655998628,10635000.0,
Pakistan,PAK,2010,0.09,4283.60731163635,179424992.0,
Solomon Islands,SLB,2010,0.09,1871.36935209356,528000.0,
Papua New Guinea,PNG,2010,0.09,3191.58041028301,7311000.0,
Vietnam,VNM,2010,0.09,4408.16861192198,87968000.0,
China,CHN,2010,0.092,9525.81848339164,1368811008.0,
Namibia,NAM,2010,0.097,8460.84736812378,2119000.0,
Nauru,NRU,2010,0.099,6592.43683574598,10000.0,
Guatemala,GTM,2010,0.105,6714.0635955465,14630000.0,
Tuvalu,TUV,2010,0.108,2986.44985588888,11000.0,
Thailand,THA,2010,0.108,13486.5624149548,67195000.0,
Malaysia,MYS,2010,0.112,21107.2679372523,28208000.0,
Saint Lucia,LCA,2010,0.113,12123.8351390475,174000.0,
Syria,SYR,2010,0.119,,21363000.0,
Mauritius,MUS,2010,0.122,15938.4192089782,1248000.0,
Egypt,EGY,2010,0.122,9857.46828190066,82761000.0,
South Africa,ZAF,2010,0.134,11887.8050343927,51217000.0,
Seychelles,SYC,2010,0.139,20365.1189331513,91000.0,
Marshall Islands,MHL,2010,0.15,3479.15530340683,56000.0,
Fiji,FJI,2010,0.151,7352.08836002372,860000.0,
Comoros,COM,2010,0.169,1412.50268663997,690000.0,
Tonga,TON,2010,0.176,4984.19362951029,104000.0,
Trinidad and Tobago,TTO,2010,0.19,31260.9070471763,1328000.0,
Maldives,MDV,2010,0.22,12005.5046183167,366000.0,
Guyana,GUY,2010,0.224,5847.85725499679,749000.0,
Vanuatu,VUT,2010,0.245,2948.03293729183,236000.0,
Sri Lanka,LKA,2010,0.299,8529.57144219453,20262000.0,
